"","Pair","Event","Currency"
"46","CADCHF","SNB Press Conference","CHF"
"47","CADCHF","Gov Council Member Lane Speaks","CAD"
"48","CADCHF","Trade Balance","CAD"
"49","CADCHF","Gov Council Member Gravelle Speaks","CAD"
"50","CADCHF","Labor Productivity q/q","CAD"
"51","CADCHF","SNB Chairman Jordan Speaks","CHF"
"52","CADJPY","Bank Holiday","CAD"
"53","CADJPY","NHPI m/m","CAD"
"54","CADJPY","30-y Bond Auction","JPY"
"55","CADJPY","Monetary Policy Meeting Minutes","JPY"
"56","CADJPY","Unemployment Rate","JPY"
"57","CADJPY","10-y Bond Auction","JPY"
"58","CADJPY","Monetary Policy Statement","JPY"
"59","CADJPY","BOC Gov Macklem Speaks","CAD"
"60","CADJPY","Labor Productivity q/q","CAD"
"61","CADJPY","Core Retail Sales m/m","CAD"
"62","CADJPY","Housing Starts","CAD"
"63","CADJPY","BOJ Core CPI y/y","JPY"
"64","CADJPY","M2 Money Stock y/y","JPY"
"65","CADJPY","PPI y/y","JPY"
"66","CHFJPY","CPI m/m","CHF"
"67","CHFJPY","Gov Board Member Maechler Speaks","CHF"
"68","CHFJPY","SECO Economic Forecasts","CHF"
"69","CHFJPY","BOJ Summary of Opinions","JPY"
"70","CHFJPY","Flash Manufacturing PMI","JPY"
"71","CHFJPY","Monetary Policy Statement","JPY"
"72","CHFJPY","Unemployment Rate","CHF"
"73","CHFJPY","PPI m/m","CHF"
"74","CHFJPY","SNB Quarterly Bulletin","CHF"
"75","CHFJPY","Trade Balance","CHF"
"76","CHFJPY","Final Manufacturing PMI","JPY"
"77","CHFJPY","Prelim GDP Price Index y/y","JPY"
"78","CHFJPY","Household Spending y/y","JPY"
"79","CHFJPY","Prelim Machine Tool Orders y/y","JPY"
"80","CHFJPY","Retail Sales y/y","JPY"
"81","EURAUD","Daylight Saving Time Shift","AUD"
"82","EURAUD","ANZ Job Advertisements m/m","AUD"
"83","EURAUD","French Final CPI m/m","EUR"
"84","EURAUD","RBA Monetary Policy Statement","AUD"
"85","EURAUD","Retail Sales m/m","AUD"
"86","EURAUD","Italian Quarterly Unemployment Rate","EUR"
"87","EURAUD","ECOFIN Meetings","EUR"
"88","EURAUD","Spanish 10-y Bond Auction","EUR"
"89","EURCAD","Italian Parliamentary Election","EUR"
"90","EURCAD","Current Account","CAD"
"91","EURCAD","Final Employment Change q/q","EUR"
"92","EURCAD","German Trade Balance","EUR"
"93","EURCAD","Italian Quarterly Unemployment Rate","EUR"
"94","EURCAD","German GfK Consumer Climate","EUR"
"95","EURCAD","German Buba President Nagel Speaks","EUR"
"96","EURCHF","SNB Press Conference","CHF"
"97","EURCHF","SNB Chairman Jordan Speaks","CHF"
"98","EURCHF","Consumer Confidence","EUR"
"99","EURCHF","Italian Quarterly Unemployment Rate","EUR"
"100","EURCHF","German Retail Sales m/m","EUR"
"101","EURGBP","Italian Parliamentary Election","EUR"
"102","EURGBP","MPC Member Dhingra Speaks","GBP"
"103","EURGBP","German Prelim GDP q/q","EUR"
"104","EURGBP","German 10-y Bond Auction","EUR"
"105","EURGBP","FPC Meeting Minutes","GBP"
"106","EURGBP","Monetary Policy Summary","GBP"
"107","EURJPY","ECB Economic Bulletin","EUR"
"108","EURJPY","German 30-y Bond Auction","EUR"
"109","EURJPY","German Buba Monthly Report","EUR"
"110","EURJPY","Spanish Services PMI","EUR"
"111","EURJPY","BOJ Summary of Opinions","JPY"
"112","EURJPY","Monetary Policy Statement","JPY"
"113","EURJPY","Trade Balance","EUR"
"114","EURJPY","German Unemployment Change","EUR"
"115","EURJPY","French Flash Services PMI","EUR"
"116","EURJPY","M3 Money Supply y/y","EUR"
"117","EURJPY","Main Refinancing Rate","EUR"
"118","EURJPY","30-y Bond Auction","JPY"
"119","EURNZD","French Consumer Spending m/m","EUR"
"120","EURNZD","Industrial Production m/m","EUR"
"121","EURNZD","German Factory Orders m/m","EUR"
"122","EURNZD","Official Cash Rate","NZD"
"123","EURNZD","French Industrial Production m/m","EUR"
"124","EURNZD","Consumer Confidence","EUR"
"125","EURNZD","German GfK Consumer Climate","EUR"
"126","EURNZD","Trade Balance","NZD"
"127","EURNZD","FPI m/m","NZD"
"128","EURUSD","Spanish Services PMI","EUR"
"129","EURUSD","Industrial Production m/m","EUR"
"130","EURUSD","FOMC Member Mester Speaks","USD"
"131","EURUSD","German Bank Holiday","EUR"
"132","EURUSD","Treasury Sec Yellen Speaks","USD"
"133","EURUSD","ADP Non-Farm Employment Change","USD"
"134","EURUSD","CB Leading Index m/m","USD"
"135","GBPAUD","BOE Inflation Letter","GBP"
"136","GBPAUD","Nationwide HPI m/m","GBP"
"137","GBPAUD","MPC Member Pill Speaks","GBP"
"138","GBPAUD","Wage Price Index q/q","AUD"
"139","GBPAUD","Housing Equity Withdrawal q/q","GBP"
"140","GBPAUD","Prime Minister Truss Speaks","GBP"
"141","GBPAUD","RICS House Price Balance","GBP"
"142","GBPAUD","MPC Member Tenreyro Speaks","GBP"
"143","GBPCAD","MPC Member Ramsden Speaks","GBP"
"144","GBPCAD","BOE Inflation Letter","GBP"
"145","GBPCAD","MPC Member Pill Speaks","GBP"
"146","GBPCAD","BOC Rate Statement","CAD"
"147","GBPCAD","Current Account","GBP"
"148","GBPCAD","MPC Member Cunliffe Speaks","GBP"
"149","GBPCAD","Claimant Count Change","GBP"
"150","GBPCHF","MPC Member Mann Speaks","GBP"
"151","GBPCHF","MPC Member Cunliffe Speaks","GBP"
"152","GBPCHF","MPC Member Tenreyro Speaks","GBP"
"153","GBPCHF","Flash Manufacturing PMI","GBP"
"154","GBPCHF","Nationwide HPI m/m","GBP"
"155","GBPCHF","CB Leading Index m/m","GBP"
"156","GBPCHF","MPC Member Ramsden Speaks","GBP"
"157","GBPCHF","MPC Member Haskel Speaks","GBP"
"158","GBPJPY","Prelim GDP q/q","GBP"
"159","GBPJPY","Public Sector Net Borrowing","GBP"
"160","GBPJPY","BOE Quarterly Bulletin","GBP"
"161","GBPJPY","MPC Member Cunliffe Speaks","GBP"
"162","GBPJPY","BOJ Gov Kuroda Speaks","JPY"
"163","GBPJPY","Monetary Base y/y","JPY"
"164","GBPJPY","Revised Industrial Production m/m","JPY"
"165","GBPJPY","Monetary Policy Statement","JPY"
"166","GBPJPY","BRC Shop Price Index y/y","GBP"
"167","GBPJPY","CBI Realized Sales","GBP"
"168","GBPJPY","Final Services PMI","GBP"
"169","GBPJPY","MPC Member Mann Speaks","GBP"
"170","GBPJPY","Core Machinery Orders m/m","JPY"
"171","GBPNZD","Construction PMI","GBP"
"172","GBPNZD","MPC Member Haskel Speaks","GBP"
"173","GBPNZD","MPC Member Ramsden Speaks","GBP"
"174","GBPNZD","Official Cash Rate","NZD"
"175","GBPNZD","Daylight Saving Time Shift","NZD"
"176","GBPNZD","Housing Equity Withdrawal q/q","GBP"
"177","GBPNZD","CPI y/y","GBP"
"178","GBPNZD","Govt Confidence Vote","GBP"
"179","GBPNZD","Prelim GDP q/q","GBP"
"180","GBPNZD","MPC Member Mann Speaks","GBP"
"181","GBPNZD","Rightmove HPI m/m","GBP"
"182","GBPNZD","Building Consents m/m","NZD"
"183","GBPUSD","BOE Quarterly Bulletin","GBP"
"184","GBPUSD","MPC Member Dhingra Speaks","GBP"
"185","GBPUSD","CB Leading Index m/m","GBP"
"186","GBPUSD","MPC Member Pill Speaks","GBP"
"187","GBPUSD","FOMC Member Mester Speaks","USD"
"188","GBPUSD","Current Account","USD"
"189","GBPUSD","FOMC Member Barr Speaks","USD"
"190","GBPUSD","FOMC Member Bullard Speaks","USD"
"191","GBPUSD","FOMC Member Logan Speaks","USD"
"192","NZDCAD","Official Cash Rate","NZD"
"193","NZDCAD","GDP q/q","NZD"
"194","NZDCAD","Bank Holiday","NZD"
"195","NZDCAD","Gov Council Member Rogers Speaks","CAD"
"196","NZDCAD","BOC Rate Statement","CAD"
"197","NZDCAD","Housing Starts","CAD"
"198","NZDCAD","ANZ Business Confidence","NZD"
"199","NZDCHF","SNB Financial Stability Report","CHF"
"200","NZDCHF","Bank Holiday","NZD"
"201","NZDCHF","NZIER Business Confidence","NZD"
"202","NZDCHF","Official Cash Rate","NZD"
"203","NZDCHF","Trade Balance","NZD"
"204","NZDCHF","Bank Holiday","CHF"
"205","NZDCHF","SECO Economic Forecasts","CHF"
"206","NZDCHF","SNB Quarterly Bulletin","CHF"
"207","NZDCHF","KOF Economic Barometer","CHF"
"208","NZDCHF","SNB Chairman Jordan Speaks","CHF"
"209","NZDCHF","Trade Balance","CHF"
"210","NZDCHF","BusinessNZ Manufacturing Index","NZD"
"211","NZDCHF","RBNZ Financial Stability Report","NZD"
"212","NZDCHF","Credit Card Spending y/y","NZD"
"213","NZDJPY","Final Manufacturing PMI","JPY"
"214","NZDJPY","Revised Industrial Production m/m","JPY"
"215","NZDJPY","Average Cash Earnings y/y","JPY"
"216","NZDJPY","BOJ Summary of Opinions","JPY"
"217","NZDJPY","Monetary Policy Statement","JPY"
"218","NZDJPY","Official Cash Rate","NZD"
"219","NZDJPY","BusinessNZ Manufacturing Index","NZD"
"220","NZDJPY","Credit Card Spending y/y","NZD"
"221","NZDJPY","Building Consents m/m","NZD"
"222","NZDJPY","Household Spending y/y","JPY"
"223","NZDJPY","Bank Holiday","JPY"
"224","NZDJPY","Tokyo Core CPI y/y","JPY"
"225","NZDJPY","Trade Balance","NZD"
"226","NZDJPY","FPI m/m","NZD"
"227","NZDUSD","Final Services PMI","USD"
"228","NZDUSD","Core CPI m/m","USD"
"229","NZDUSD","FOMC Member Waller Speaks","USD"
"230","NZDUSD","Philly Fed Manufacturing Index","USD"
"231","NZDUSD","FOMC Meeting Minutes","USD"
"232","NZDUSD","Challenger Job Cuts y/y","USD"
"233","NZDUSD","FOMC Member Mester Speaks","USD"
"234","NZDUSD","ANZ Business Confidence","NZD"
"235","NZDUSD","Trade Balance","NZD"
"236","NZDUSD","Chicago PMI","USD"
"237","NZDUSD","Core Retail Sales m/m","USD"
"238","USDCAD","FOMC Member Collins Speaks","USD"
"239","USDCAD","Ivey PMI","CAD"
"240","USDCAD","Manufacturing Sales m/m","CAD"
"241","USDCAD","CB Leading Index m/m","USD"
"242","USDCHF","SNB Press Conference","CHF"
"243","USDCHF","SECO Economic Forecasts","CHF"
"244","USDCHF","FOMC Member Mester Speaks","USD"
"245","USDCHF","Bank Holiday","CHF"
"246","USDCHF","FOMC Member Cook Speaks","USD"
"247","USDCHF","Federal Funds Rate","USD"
"248","USDCHF","Flash Manufacturing PMI","USD"
"249","USDCHF","FOMC Member Brainard Speaks","USD"
"250","USDCHF","CPI y/y","USD"
"251","USDJPY","BOJ Summary of Opinions","JPY"
"252","USDJPY","Monetary Policy Statement","JPY"
"253","USDJPY","Average Hourly Earnings m/m","USD"
"254","USDJPY","Empire State Manufacturing Index","USD"
"255","USDJPY","Federal Budget Balance","USD"
"256","USDJPY","Final Services PMI","USD"
"257","USDJPY","Core Retail Sales m/m","USD"
"258","USDJPY","Flash Manufacturing PMI","USD"
"259","USDJPY","FOMC Member Jefferson Speaks","USD"
"260","USDJPY","Pending Home Sales m/m","USD"
"261","USDJPY","Wards Total Vehicle Sales","USD"
"262","XAUUSD","Average Hourly Earnings m/m","USD"
"263","XAUUSD","Goods Trade Balance","USD"
"264","XAUUSD","Capacity Utilization Rate","USD"
"265","XAUUSD","Core Durable Goods Orders m/m","USD"
"266","XAUUSD","Core CPI m/m","USD"
"267","XAUUSD","Existing Home Sales","USD"
"268","XAUUSD","Factory Orders m/m","USD"
"269","XAUUSD","FOMC Member Collins Speaks","USD"
"270","XAUUSD","President Biden Speaks","USD"
"271","XAUUSD","Final GDP q/q","USD"
"272","XAUUSD","Mortgage Delinquencies","USD"
"273","XAUUSD","Treasury Sec Yellen Speaks","USD"
"274","XAUUSD","Challenger Job Cuts y/y","USD"
"275","XAUUSD","FOMC Member Mester Speaks","USD"
"276","XAUUSD","NFIB Small Business Index","USD"
"277","XAUUSD","Philly Fed Manufacturing Index","USD"
"278","XAUUSD","Wards Total Vehicle Sales","USD"
